UserId,Name,email,RegistrationDate,PlanType
1,João Rodrigues,jr89@gmail.com,2021-07-02,Free
34,Inês Tavares,it99@gmail.com,2021-12-08,Family
35,Margarida Silva,ms23@gmail.com,2023-02-01,Student
43,José Campos,josec@gmail.com,2023-03-01,Student
45,Susana Barros,suba@gmail.com,2023-03-08,Family
63,Carlos Macedo,cm71@gmail.com,2023-03-15,Family
72,Maria Pedroso,mp33@gmail.com,2023-05-05,Free
77,Cátia Oliveira,catiaoliveira1@gmail.com,2023-05-06,Student
98,Renato Batista ,renato_bat@gmail.com,2023-10-01,Premium
134,Hortense Rosas,hortense_rosas@gmail.com,2024-01-01,Premium
